season,game_type,week,gametime,away_team,away_score,home_team,home_score,result,total,overtime,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,Score_Diff,Home_Win?
2024,REG,3,16:05,CAR,36,LV,22,-14,58,0,7,7,200,-245,5.5,-110,-110,40,-108,-112,0,dome,grass,,,-14,0
2024,REG,3,16:05,MIA,3,SEA,24,21,27,0,10,7,170,-205,4,-110,-110,41.5,-110,-110,0,outdoors,fieldturf,64,2,21,1
2024,REG,3,16:25,DET,20,ARI,13,-7,33,0,7,7,-148,124,-3,-102,-118,51.5,-112,-108,0,closed,grass,,,-7,0
2024,REG,3,16:25,BAL,28,DAL,25,-3,53,0,7,7,-120,100,-1.5,-110,-110,47.5,-112,-108,0,closed,matrixturf,,,-3,0
2024,REG,3,16:25,SF,24,LA,27,3,51,0,7,7,-258,210,-6,-108,-112,44.5,-110,-110,1,dome,matrixturf,,,3,1
2024,REG,3,20:20,KC,22,ATL,17,-5,39,0,7,6,-170,142,-3,-118,-102,46,-108,-112,0,closed,fieldturf,,,-5,0
2024,REG,3,19:30,JAX,10,BUF,47,37,57,0,8,11,180,-218,4,-108,-112,46.5,-110,-110,0,outdoors,a_turf,68,5,37,1
2024,REG,3,20:15,WAS,38,CIN,33,-5,71,0,8,8,280,-355,7.5,-115,-105,46,-112,-108,0,outdoors,fieldturf,69,5,-5,0
2024,REG,4,20:15,DAL,20,NYG,15,-5,35,0,4,4,-250,205,-5.5,-115,-105,45,-112,-108,1,outdoors,fieldturf,74,3,-5,0
2024,REG,4,13:00,NO,24,ATL,26,2,50,0,7,7,120,-142,2.5,-105,-115,41.5,-112,-108,1,closed,fieldturf,,,2,1
2024,REG,4,13:00,CIN,34,CAR,24,-10,58,0,6,7,-205,170,-4.5,-112,-108,47,-108,-112,0,outdoors,grass,78,6,-10,0
2024,REG,4,13:00,LA,18,CHI,24,6,42,0,7,7,136,-162,3,-112,-108,40,-105,-115,0,outdoors,grass,70,16,6,1
2024,REG,4,13:00,MIN,31,GB,29,-2,60,0,7,7,114,-135,2.5,-102,-118,44,-112,-108,1,outdoors,grass,71,15,-2,0
2024,REG,4,13:00,JAX,20,HOU,24,4,44,0,6,7,195,-238,5.5,-108,-112,44.5,-108,-112,1,closed,astroturf,,,4,1
2024,REG,4,13:00,PIT,24,IND,27,3,51,0,7,7,-130,110,-2.5,-108,-112,40,-110,-110,0,closed,fieldturf,,,3,1
2024,REG,4,13:00,DEN,10,NYJ,9,-1,19,0,7,10,330,-425,7.5,-108,-112,39.5,-112,-108,0,outdoors,fieldturf,67,8,-1,0
2024,REG,4,13:00,PHI,16,TB,33,17,49,0,7,7,-115,-105,-1,-110,-110,42,-108,-112,0,outdoors,grass,88,9,17,1
2024,REG,4,16:05,WAS,42,ARI,14,-28,56,0,6,7,150,-180,3.5,-115,-105,49,-112,-108,0,closed,grass,,,-28,0
2024,REG,4,16:05,NE,13,SF,30,17,43,0,10,7,410,-550,10.5,-112,-108,41.5,-110,-110,0,outdoors,grass,71,5,17,1
2024,REG,4,16:25,KC,17,LAC,10,-7,27,0,7,7,-345,275,-7.5,-108,-112,41.5,-108,-112,1,dome,matrixturf,,,-7,0
2024,REG,4,16:25,CLE,16,LV,20,4,36,0,7,7,-135,114,-2.5,-115,-105,36.5,-108,-112,0,dome,grass,,,4,1
2024,REG,4,20:20,BUF,10,BAL,35,25,45,0,6,7,114,-135,2.5,-108,-112,46.5,-110,-110,0,outdoors,grass,68,8,25,1
2024,REG,4,19:30,TEN,31,MIA,12,-19,43,0,8,8,114,-135,2.5,-108,-112,37,-110,-110,0,outdoors,grass,86,9,-19,0
2024,REG,4,20:15,SEA,29,DET,42,13,71,0,8,8,154,-185,3.5,-108,-112,46.5,-108,-112,0,dome,fieldturf,,,13,1
2024,REG,5,20:15,TB,30,ATL,36,6,66,1,4,4,120,-142,2.5,-102,-118,44,-110,-110,1,closed,fieldturf,,,6,1
2024,REG,5,9:30,NYJ,17,MIN,23,6,40,0,7,7,120,-142,2.5,-105,-115,42,-112,-108,0,outdoors,grass,59,8,6,1
2024,REG,5,13:00,CAR,10,CHI,36,26,46,0,7,7,164,-198,4,-108,-112,40,-108,-112,0,outdoors,grass,74,7,26,1
2024,REG,5,13:00,BAL,41,CIN,38,-3,79,1,7,7,-148,124,-2.5,-118,-102,48.5,-112,-108,1,outdoors,fieldturf,81,10,-3,0
2024,REG,5,13:00,BUF,20,HOU,23,3,43,0,7,7,-102,-118,1,-108,-112,48,-110,-110,0,closed,astroturf,,,3,1
2024,REG,5,13:00,IND,34,JAX,37,3,71,0,7,7,154,-185,3.5,-110,-110,45,-110,-110,1,outdoors,grass,74,4,3,1
2024,REG,5,13:00,MIA,15,NE,10,-5,25,0,6,7,-130,110,-2,-112,-108,37,-108,-112,1,outdoors,fieldturf,65,2,-5,0
2024,REG,5,13:00,CLE,13,WAS,34,21,47,0,7,7,130,-155,3,-112,-108,44,-112,-108,0,outdoors,grass,73,5,21,1
2024,REG,5,16:05,LV,18,DEN,34,16,52,0,7,7,130,-155,3,-112,-108,36,-108,-112,1,outdoors,grass,73,7,16,1
2024,REG,5,16:05,ARI,24,SF,23,-1,47,0,7,7,260,-325,7,-105,-115,48.5,-108,-112,1,outdoors,grass,89,3,-1,0
2024,REG,5,16:25,GB,24,LA,19,-5,43,0,7,7,-155,130,-3,-112,-108,49.5,-112,-108,0,dome,matrixturf,,,-5,0
2024,REG,5,16:25,NYG,29,SEA,20,-9,49,0,10,6,250,-310,7,-112,-108,42.5,-110,-110,0,outdoors,fieldturf,61,3,-9,0
2024,REG,5,20:20,DAL,20,PIT,17,-3,37,0,10,7,114,-135,2.5,-108,-112,43.5,-108,-112,0,outdoors,grass,67,6,-3,0
2024,REG,5,20:15,NO,13,KC,26,13,39,0,8,8,190,-230,5.5,-112,-108,43,-110,-110,0,outdoors,grass,70,1,13,1
2024,REG,6,20:15,SF,36,SEA,24,-12,60,0,4,4,-198,164,-3.5,-118,-102,49,-110,-110,1,outdoors,fieldturf,59,10,-12,0
