season,game_type,week,gametime,away_team,away_score,home_team,home_score,result,total,overtime,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,Score_Diff,Home_Win?
2020,REG,3,16:05,NYJ,7,IND,36,29,43,0,7,7,491,-630,12.5,-109,-101,44,-113,101,0,closed,fieldturf,,,29,1
2020,REG,3,16:05,CAR,21,LAC,16,-5,37,0,7,7,230,-265,6,-107,-103,43.5,100,-111,0,dome,matrixturf,,,-5,0
2020,REG,3,16:25,DET,26,ARI,23,-3,49,0,7,7,193,-218,4.5,-105,-105,55.5,-113,101,0,closed,grass,,,-3,0
2020,REG,3,16:25,TB,28,DEN,10,-18,38,0,7,7,-264,230,-6,-105,-105,42.5,-103,-108,0,outdoors,grass,55,7,-18,0
2020,REG,3,16:25,DAL,31,SEA,38,7,69,0,7,7,208,-237,5.5,-104,-106,58,-116,104,0,outdoors,fieldturf,63,3,7,1
2020,REG,3,20:20,GB,37,NO,30,-7,67,0,7,6,154,-172,3.5,-112,102,52,-108,-103,0,dome,astroturf,,,-7,0
2020,REG,3,20:15,KC,34,BAL,20,-14,54,0,8,8,156,-174,3.5,-112,102,55,-115,104,0,outdoors,grass,73,8,-14,0
2020,REG,4,20:20,DEN,37,NYJ,28,-9,65,0,4,4,104,-114,1,-102,-108,41,-101,-110,0,outdoors,fieldturf,64,6,-9,0
2020,REG,4,13:00,ARI,21,CAR,31,10,52,0,7,7,-157,141,-3,-105,-105,52.5,-116,104,0,outdoors,grass,68,8,10,1
2020,REG,4,13:00,JAX,25,CIN,33,8,58,0,10,7,101,-112,1,-106,-104,50,-106,-105,0,outdoors,grass,64,6,8,1
2020,REG,4,13:00,CLE,49,DAL,38,-11,87,0,7,7,157,-175,3.5,-111,101,56.5,-112,101,0,closed,fieldturf,,,-11,0
2020,REG,4,13:00,NO,35,DET,29,-6,64,0,7,7,-155,139,-3,-103,-107,51.5,-102,-109,0,dome,fieldturf,,,-6,0
2020,REG,4,13:00,MIN,31,HOU,23,-8,54,0,7,7,154,-172,3.5,-114,104,52.5,100,-112,0,closed,grass,,,-8,0
2020,REG,4,13:00,SEA,31,MIA,23,-8,54,0,7,10,-223,196,-4.5,-106,-104,55,-113,101,0,outdoors,grass,86,13,-8,0
2020,REG,4,13:00,LAC,31,TB,38,7,69,0,7,7,282,-331,7.5,-114,103,42.5,-111,-100,0,outdoors,grass,75,6,7,1
2020,REG,4,13:00,BAL,31,WAS,17,-14,48,0,6,7,-958,692,-14.5,104,-115,45,-113,102,0,outdoors,grass,65,5,-14,0
2020,REG,4,16:05,NYG,9,LA,17,8,26,0,7,7,652,-890,13.5,-103,-107,49.5,101,-112,0,dome,matrixturf,,,8,1
2020,REG,4,16:25,IND,19,CHI,11,-8,30,0,7,7,-174,156,-3.5,102,-112,43.5,-110,-101,0,outdoors,grass,52,10,-8,0
2020,REG,4,16:25,BUF,30,LV,23,-7,53,0,7,7,-172,154,-3,-115,104,53,-108,-103,0,dome,grass,,,-7,0
